Designator,Footprint,Quantity,Value,LCSC Part #
BT1,Battery,1,BAT,
"C1, C10, C11, C13, C14, C16, C22, C29, C31, C4, C44, C45, C50, C58, C6, C60, C61, C8",0603,18,10uF,C96446
"C12, C15, C9",0603,3,22uF,C59461
"C17, C21, C23, C24, C26, C28, C3, C30, C32, C33, C34, C35, C36, C37, C38, C39, C40, C41, C42, C43, C46, C47, C48, C49, C51, C52, C53, C54, C55, C56, C57",0402,31,0.1uF,C307331
C18,0402,1,22nF,C1532
"C19, C20, C7",0402,3,1uF,C52923
C2,0402,1,4.7uF,C23733
"C25, C27",0402,2,8pF,C1578
C5,0402,1,47nF,C272875
CN1,CONN-SMD_30P-P0.40_OK-10F030-04-A,1,OK-10F030-04,C9900021743
D1,D_SOD-923,1,Zener,C414245
H1,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,1,~,C2845363
"L1, L3, L4",L_Changjiang_FTC201610S,3,1.5uH,C5832343
L2,L_Changjiang_FTC201610S,1,0.47uH,C5832340
LED1,LED-SMD_L1.6-W1.1-RD,1,YLED0602RSIDE,C49446796
LED2,LED-SMD_L1.6-W1.1-R-RD_WHITE,1,WHITE,C46635136
"Q1, Q2, Q3",SOT-23,3,AO3401A,C15127
"R1, R26, R29",0402,3,100k,C25741
R10,0402,1,56k,C25796
"R11, R13, R14, R15, R19, R20, R21, R22, R23, R38, R4, R5, R8, R9",0402,14,10k,C25744
"R12, R16",0402,2,15k,C25756
"R17, R25, R32, R33, R34, R35, R6, R7",0402,8,5.1k,C25905
"R18, R2",0402,2,270R,C2909342
R24,0402,1,36k,C2930004
"R27, R36, R37",0402,3,100R,C25076
R28,0402,1,51k,C25794
R3,0402,1,910R,C2909392
R30,0402,1,4.7k,C25900
R31,0402,1,200k,C25764
SW1,SW-SMD_2P-TS24CA,1,TS24CA,C393942
TP1,TestPoint,1,SWDIO,
TP2,TestPoint,1,USART1_TX,
TP3,TestPoint,1,UART_TX,
TP4,TestPoint,1,UART_RX,
U1,VSON-10_L3.0-W2.0-P0.50-TL,1,TPS63802DLAR,C2845237
U10,SOIC-8_L5.3-W5.3-P1.27-LS8.0-BL,1,W25Q128JVSIQTR,C97521
U11,TF-SMD_TF-115-BCP9,1,TF-115-BCP9,C720505
U12,QFN128_12.3_12.3,1,~,
U2,VQFN-24_L4.0-W4.0-P0.50-TL-EP2.8,1,BQ25606RGER,C374063
"U3, U4",SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL,2,RT8097CHGE,C3031673
U5,QFN-20_L3.0-W3.0-P0.40-TL-EP1.7,1,CH32V003F4U6,C5299908
U6,SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BR,1,RT9193-18GB,C27416
U7,MIC-SMD_6P-L3.5-W2.7-P0.90-BL,1,ICS43434,C5656610
U8,LGA-14_L3.0-W2.5-P0.50-BR,1,BMI270,C2836813
U9,MIC-SMD_INMP441,1,INMP441,C5438445
USB1,USB-C-SMD_TYPE-C-6PIN-2MD-073,1,TYPE-C 16PIN,C2765186
X1,CRYSTAL-SMD_4P-L2.0-W1.6-BL,1,24MHz,C7303340
