Designator,Mid X,Mid Y,Rotation,Layer
BT1,196.53,-81.27,0.0,bottom
C1,194.57,-81.87,90.0,top
C10,221.67,-84.6225,0.0,top
C11,206.48,-82.51,90.0,top
C12,206.34,-84.86,0.0,top
C13,201.41,-81.76,270.0,top
C14,214.695,-82.51,90.0,top
C15,214.555,-84.86,0.0,top
C16,209.625,-81.76,270.0,top
C17,202.065,-107.72,90.0,top
C18,198.75,-88.8,90.0,top
C19,202.79,-89.57,90.0,top
C2,193.01,-86.98,180.0,bottom
C20,202.79,-87.68,270.0,top
C21,206.47,-102.81,270.0,top
C22,208.305,-105.31,0.0,bottom
C23,218.56,-111.92,0.0,top
C24,220.7,-110.36,90.0,top
C25,210.38,-92.51,90.0,top
C26,200.385,-98.57,0.0,top
C27,212.06,-90.97,180.0,top
C28,206.105,-87.17,45.0,top
C29,209.31,-109.58,270.0,top
C3,194.455,-109.9,0.0,top
C30,223.695,-101.590769,180.0,top
C31,205.555,-106.13,180.0,top
C32,207.605,-106.3,270.0,top
C33,223.695,-93.755,0.0,top
C34,212.46,-109.01,90.0,top
C35,223.695,-99.627692,0.0,top
C36,223.695,-102.562308,0.0,top
C37,210.84,-93.93,90.0,bottom
C38,213.33,-93.93,90.0,bottom
C39,211.5,-109.01,270.0,top
C4,191.21,-87.9,270.0,bottom
C40,223.695,-105.516923,0.0,top
C41,223.695,-95.701538,0.0,top
C42,215.135,-88.68,180.0,top
C43,208.875,-104.09,0.0,bottom
C44,214.575,-87.42,180.0,top
C45,216.2,-109.57,270.0,top
C46,210.54,-109.01,270.0,top
C47,215.48,-107.56,0.0,top
C48,214.015,-86.13,0.0,top
C49,210.295,-79.73,180.0,top
C5,190.05,-85.3,180.0,top
C50,208.305,-101.89,0.0,bottom
C51,214.55,-93.93,90.0,bottom
C52,214.92,-109.01,270.0,top
C53,223.695,-96.673077,0.0,top
C54,223.695,-94.73,0.0,top
C55,208.875,-103.13,0.0,bottom
C56,202.105,-79.76,180.0,top
C57,204.245,-86.91,0.0,top
C58,212.085,-93.93,90.0,bottom
C6,193.01,-81.87,90.0,top
C60,213.69,-109.58,270.0,top
C61,215.795,-93.93,90.0,bottom
C7,191.06,-88.47,270.0,top
C8,219.44,-79.98,180.0,top
C9,218.62,-85.65,180.0,top
CN1,218.52,-91.36,180.0,top
D1,189.72,-88.6425,270.0,bottom
H1,203.37,-80.025,180.0,bottom
L1,190.4,-83.17,90.0,top
L2,222.08,-82.2,270.0,top
L3,203.34,-85.22,0.0,top
L4,211.555,-85.22,0.0,top
LED1,219.09,-114.11,180.0,top
LED2,214.09,-114.15,180.0,top
Q1,197.3375,-82.31,180.0,top
Q2,188.5025,-87.58,0.0,top
Q3,191.2725,-79.76,180.0,top
R1,188.74,-88.48,90.0,bottom
R10,219.17,-84.3625,0.0,top
R11,217.75,-82.8125,270.0,top
R12,205.98,-80.45,180.0,top
R13,204.01,-80.45,180.0,top
R14,215.975,-83.06,270.0,top
R15,214.195,-80.45,180.0,top
R16,212.225,-80.45,180.0,top
R17,214.17,-113.0,180.0,top
R18,201.595,-109.17,180.0,top
R19,201.055,-107.7,90.0,top
R2,197.27,-86.71,180.0,top
R20,207.58,-110.35,0.0,top
R21,193.825,-89.66,180.0,top
R22,196.145,-89.66,0.0,top
R23,206.78,-111.38,180.0,top
R24,222.11,-109.02,90.0,top
R25,219.09,-113.0,0.0,top
R26,207.4,-101.36,180.0,top
R27,209.335,-107.47,180.0,bottom
R28,205.785,-96.47,0.0,top
R29,223.715,-100.609231,0.0,top
R3,197.27,-85.67,180.0,top
R30,223.715,-107.49,0.0,top
R31,223.715,-106.498462,0.0,top
R32,220.91,-88.69,0.0,top
R33,218.98,-88.69,180.0,top
R34,223.715,-103.543846,180.0,top
R35,223.715,-104.535385,180.0,top
R36,223.715,-97.654615,0.0,top
R37,223.715,-98.646154,0.0,top
R38,217.04,-88.69,180.0,top
R4,192.99,-86.0,180.0,bottom
R5,192.99,-85.02,0.0,bottom
R6,194.47,-108.85,0.0,top
R7,192.49,-108.85,180.0,top
R8,196.81,-88.2,270.0,top
R9,207.76,-83.06,270.0,top
SW1,207.040051,-113.6275,180.0,top
TP1,206.0,-110.35,0.0,bottom
TP2,205.99,-107.67,0.0,bottom
TP3,216.75,-105.55,90.0,bottom
TP4,215.29,-105.56,90.0,bottom
U1,219.5,-82.2725,0.0,top
U10,205.74,-91.99,225.0,top
U11,193.3025,-99.62,270.0,top
U12,215.185,-100.5,0.0,top
U2,193.59,-85.95,90.0,top
U3,203.99,-82.53,90.0,top
U4,212.205,-82.53,90.0,top
U5,204.55,-109.03,0.0,top
U6,200.77,-88.79,270.0,top
U7,204.28397,-101.749634,225.0,top
U8,218.64,-110.1,180.0,top
U9,202.847976783637,-103.188431216363,135.0,top
USB1,193.73,-109.97,0.0,bottom
X1,212.12,-92.52,0.0,top
